Student_ID,Registration_No,Gender,Age,Course,Semester,Section,Total_Classes,Classes_Attended,Attendance_Percentage,Previous_Semester_GPA,Current_CGPA,Assignment_1,Assignment_2,Avg_Assignment_Score,Avg_Tutorial_Score,Avg_Pop_Quiz,Avg_Lab_Score,Mid_Term_Assessment,Final_Term_Assessment,Capstone_Project_Marks,Study_Habits,Disciplinary_Record,Internship_Status,Teacher_Remarks,Extracurricular_Feedback,Final_Obtained_Score,Student_Grade_Band
S-10000,REG-2026-1000,F,25,BS Computer Science,2,S1,50,47,95.0,3.8,3.55,99,85,92.0,92,82,87,93.0,80,80,Regular studier,Excellent,Completed,Outstanding performance throughout the semester.,Outstanding performer in arts,86.4,Excellent
S-10001,REG-2026-1001,F,21,BS Computer Science,2,S2,50,17,34.0,1.89,1.88,29,35,32.0,49,40,26,51.0,49,20,Rarely studies,Probation,Not Started,Lacks fundamental understanding of the subject matter.,Shy and inactive,39.7,Poor
S-10002,REG-2026-1002,M,25,BS Info Tech,4,S2,50,41,82.0,2.58,2.55,78,58,68.0,64,61,60,55.0,68,77,Needs some guidance,Warning,Not Started,Understands the basics but struggles with complex logic.,Participates occasionally,64.9,Average
S-10003,REG-2026-1003,M,22,BS Software Eng,4,S1,50,22,44.0,1.18,1.17,52,40,46.0,53,22,34,35.0,20,53,Rarely studies,Warning,Not Started,Lacks fundamental understanding of the subject matter.,No interest,34.05,Poor
S-10004,REG-2026-1004,M,19,BS Info Tech,4,S1,50,16,33.0,2.03,2.04,34,43,38.5,23,41,37,53.0,49,33,Needs constant monitoring,Needs Improvement,Not Started,Lacks fundamental understanding of the subject matter.,Shy and inactive,42.45,Poor
S-10005,REG-2026-1005,F,24,BS Info Tech,2,S2,50,39,79.0,3.39,3.31,57,55,56.0,77,77,63,55.0,67,71,Occasional studier,Good,Ongoing,Understands the basics but struggles with complex logic.,Participates occasionally,65.4,Good
S-10006,REG-2026-1006,M,20,BS Info Tech,8,S2,50,47,95.0,3.75,3.72,86,99,92.5,90,89,80,80.0,87,88,Regular studier,Excellent,Completed,Shows excellent leadership and analytical skills.,Shows leadership in sports,85.95,Excellent
S-10007,REG-2026-1007,F,24,BS Computer Science,8,S1,50,41,83.0,3.43,3.42,55,55,55.0,61,70,64,72.0,78,72,Needs some guidance,Good,Ongoing,Average performance. Needs to focus more on lab work.,Learning basics of music,70.4,Good
S-10008,REG-2026-1008,M,24,BS Data Science,8,S2,50,34,69.0,2.96,2.92,68,55,61.5,66,63,59,59.0,59,74,Last-minute crammer,Warning,Not Started,Average performance. Needs to focus more on lab work.,Average sports player,62.0,Average
S-10009,REG-2026-1009,F,21,BS AI,6,S2,50,39,78.0,2.85,2.85,64,63,63.5,68,77,68,59.0,75,78,Needs some guidance,Good,Ongoing,Average performance. Needs to focus more on lab work.,Participates occasionally,69.9,Good
S-10010,REG-2026-1010,F,18,BS Computer Science,8,S1,50,43,87.0,3.94,3.91,96,93,94.5,93,97,99,87.0,96,94,Regular studier,Excellent,Completed,Outstanding performance throughout the semester.,Active club president,93.8,Excellent
S-10011,REG-2026-1011,F,22,BS Computer Science,6,S2,50,40,80.0,3.06,2.91,76,64,70.0,58,74,57,69.0,63,77,Needs some guidance,Good,Ongoing,Good effort but needs more consistency in assignments.,Average sports player,67.1,Good
S-10012,REG-2026-1012,M,21,BS Data Science,3,S3,50,46,92.0,3.73,3.81,99,84,91.5,93,83,94,93.0,93,98,Very consistent,Excellent,Completed,Brilliant understanding of core concepts. A joy to teach.,Outstanding performer in arts,92.45,Excellent
S-10013,REG-2026-1013,F,19,BS Software Eng,6,S1,50,48,96.0,3.99,3.8,81,86,83.5,86,89,92,84.0,90,85,Regular studier,Excellent,Completed,Shows excellent leadership and analytical skills.,Outstanding performer in arts,87.95,Excellent
S-10014,REG-2026-1014,F,18,BS Software Eng,7,S1,50,47,94.0,3.75,3.48,87,94,90.5,93,80,89,85.0,85,98,Highly focused,Excellent,Completed,"Highly proactive, consistent, and quick learner.",Outstanding performer in arts,87.8,Excellent
